sample_index,sequence_id,category,parameter_group,left,right,cosine
1,phase8_train_0006,temporally_separated,output_1x1,smooth,guidance,-0.24862511456012726
1,phase8_train_0006,temporally_separated,output_1x1,smooth,dynamic_raw,-0.19078311324119568
1,phase8_train_0006,temporally_separated,output_1x1,smooth,dynamic_weighted,-0.19081221520900726
1,phase8_train_0006,temporally_separated,output_1x1,smooth,score,-0.09403923898935318
1,phase8_train_0006,temporally_separated,output_1x1,smooth,total,0.1834864318370819
1,phase8_train_0006,temporally_separated,output_1x1,static,guidance,0.008808745071291924
1,phase8_train_0006,temporally_separated,output_1x1,static,dynamic_raw,-0.2379772961139679
1,phase8_train_0006,temporally_separated,output_1x1,static,dynamic_weighted,-0.2379593402147293
1,phase8_train_0006,temporally_separated,output_1x1,static,score,0.015435523353517056
1,phase8_train_0006,temporally_separated,output_1x1,static,total,0.7600829601287842
1,phase8_train_0006,temporally_separated,output_1x1,guidance,dynamic_raw,0.022227084264159203
1,phase8_train_0006,temporally_separated,output_1x1,guidance,dynamic_weighted,0.02223343402147293
1,phase8_train_0006,temporally_separated,output_1x1,guidance,score,0.10337897390127182
1,phase8_train_0006,temporally_separated,output_1x1,guidance,total,0.37507033348083496
1,phase8_train_0006,temporally_separated,output_1x1,dynamic_raw,dynamic_weighted,1.0
1,phase8_train_0006,temporally_separated,output_1x1,dynamic_raw,score,-0.09157010167837143
1,phase8_train_0006,temporally_separated,output_1x1,dynamic_raw,total,-0.20733128488063812
1,phase8_train_0006,temporally_separated,output_1x1,dynamic_weighted,score,-0.09154854714870453
1,phase8_train_0006,temporally_separated,output_1x1,dynamic_weighted,total,-0.20730675756931305
1,phase8_train_0006,temporally_separated,output_1x1,score,total,0.5773464441299438
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,static,0.7735193967819214
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,guidance,-0.3857225477695465
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,dynamic_raw,-0.6893304586410522
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,dynamic_weighted,-0.689330518245697
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,score,0.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,smooth,total,0.7292599081993103
1,phase8_train_0006,temporally_separated,trajectory_output_branch,static,guidance,-0.06941970437765121
1,phase8_train_0006,temporally_separated,trajectory_output_branch,static,dynamic_raw,-0.6755432486534119
1,phase8_train_0006,temporally_separated,trajectory_output_branch,static,dynamic_weighted,-0.6755432486534119
1,phase8_train_0006,temporally_separated,trajectory_output_branch,static,score,0.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,static,total,0.9819979071617126
1,phase8_train_0006,temporally_separated,trajectory_output_branch,guidance,dynamic_raw,0.1104254499077797
1,phase8_train_0006,temporally_separated,trajectory_output_branch,guidance,dynamic_weighted,0.11042550951242447
1,phase8_train_0006,temporally_separated,trajectory_output_branch,guidance,score,0.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,guidance,total,0.11102738976478577
1,phase8_train_0006,temporally_separated,trajectory_output_branch,dynamic_raw,dynamic_weighted,1.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,dynamic_raw,score,0.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,dynamic_raw,total,-0.652492105960846
1,phase8_train_0006,temporally_separated,trajectory_output_branch,dynamic_weighted,score,0.0
1,phase8_train_0006,temporally_separated,trajectory_output_branch,dynamic_weighted,total,-0.6524920463562012
1,phase8_train_0006,temporally_separated,trajectory_output_branch,score,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,static,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,guidance,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,dynamic_raw,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,dynamic_weighted,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,score,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,smooth,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,static,guidance,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,static,dynamic_raw,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,static,dynamic_weighted,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,static,score,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,static,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,guidance,dynamic_raw,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,guidance,dynamic_weighted,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,guidance,score,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,guidance,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,dynamic_raw,dynamic_weighted,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,dynamic_raw,score,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,dynamic_raw,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,dynamic_weighted,score,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,dynamic_weighted,total,0.0
1,phase8_train_0006,temporally_separated,score_output_branch,score,total,1.0
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,static,0.4986098110675812
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,guidance,-0.17558282613754272
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,dynamic_raw,-0.3939448297023773
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,dynamic_weighted,-0.39396336674690247
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,score,0.08646297454833984
1,phase8_train_0006,temporally_separated,shared_head_trunk,smooth,total,0.3943347632884979
1,phase8_train_0006,temporally_separated,shared_head_trunk,static,guidance,0.0814591497182846
1,phase8_train_0006,temporally_separated,shared_head_trunk,static,dynamic_raw,-0.40454021096229553
1,phase8_train_0006,temporally_separated,shared_head_trunk,static,dynamic_weighted,-0.40454384684562683
1,phase8_train_0006,temporally_separated,shared_head_trunk,static,score,0.005410277284681797
1,phase8_train_0006,temporally_separated,shared_head_trunk,static,total,0.7085191011428833
1,phase8_train_0006,temporally_separated,shared_head_trunk,guidance,dynamic_raw,0.05220621079206467
1,phase8_train_0006,temporally_separated,shared_head_trunk,guidance,dynamic_weighted,0.052211519330739975
1,phase8_train_0006,temporally_separated,shared_head_trunk,guidance,score,-0.06787149608135223
1,phase8_train_0006,temporally_separated,shared_head_trunk,guidance,total,0.355458527803421
1,phase8_train_0006,temporally_separated,shared_head_trunk,dynamic_raw,dynamic_weighted,1.0000001192092896
1,phase8_train_0006,temporally_separated,shared_head_trunk,dynamic_raw,score,-0.06115703284740448
1,phase8_train_0006,temporally_separated,shared_head_trunk,dynamic_raw,total,-0.29025202989578247
1,phase8_train_0006,temporally_separated,shared_head_trunk,dynamic_weighted,score,-0.0611506849527359
1,phase8_train_0006,temporally_separated,shared_head_trunk,dynamic_weighted,total,-0.29025018215179443
1,phase8_train_0006,temporally_separated,shared_head_trunk,score,total,0.6164911985397339
1,phase8_train_0006,temporally_separated,all,smooth,static,0.568977415561676
1,phase8_train_0006,temporally_separated,all,smooth,guidance,-0.2889055609703064
1,phase8_train_0006,temporally_separated,all,smooth,dynamic_raw,-0.4718632400035858
1,phase8_train_0006,temporally_separated,all,smooth,dynamic_weighted,-0.4718761444091797
1,phase8_train_0006,temporally_separated,all,smooth,score,-0.04218103736639023
1,phase8_train_0006,temporally_separated,all,smooth,total,0.4049271047115326
1,phase8_train_0006,temporally_separated,all,static,guidance,0.0006754084606654942
1,phase8_train_0006,temporally_separated,all,static,dynamic_raw,-0.44463473558425903
1,phase8_train_0006,temporally_separated,all,static,dynamic_weighted,-0.4446321427822113
1,phase8_train_0006,temporally_separated,all,static,score,0.03263268619775772
1,phase8_train_0006,temporally_separated,all,static,total,0.8189598917961121
1,phase8_train_0006,temporally_separated,all,guidance,dynamic_raw,0.06282593309879303
1,phase8_train_0006,temporally_separated,all,guidance,dynamic_weighted,0.06283760070800781
1,phase8_train_0006,temporally_separated,all,guidance,score,0.10820336639881134
1,phase8_train_0006,temporally_separated,all,guidance,total,0.3427807688713074
1,phase8_train_0006,temporally_separated,all,dynamic_raw,dynamic_weighted,0.9999999403953552
1,phase8_train_0006,temporally_separated,all,dynamic_raw,score,-0.05033435299992561
1,phase8_train_0006,temporally_separated,all,dynamic_raw,total,-0.36101990938186646
1,phase8_train_0006,temporally_separated,all,dynamic_weighted,score,-0.05031773820519447
1,phase8_train_0006,temporally_separated,all,dynamic_weighted,total,-0.3610077500343323
1,phase8_train_0006,temporally_separated,all,score,total,0.5160617828369141
2,phase8_train_0006,temporally_separated,late_mobile,smooth,static,0.38350367546081543
2,phase8_train_0006,temporally_separated,late_mobile,smooth,guidance,0.33781731128692627
2,phase8_train_0006,temporally_separated,late_mobile,smooth,dynamic_raw,-0.2707163393497467
2,phase8_train_0006,temporally_separated,late_mobile,smooth,dynamic_weighted,-0.2707432806491852
2,phase8_train_0006,temporally_separated,late_mobile,smooth,score,-0.1335945874452591
2,phase8_train_0006,temporally_separated,late_mobile,smooth,total,0.4134894609451294
2,phase8_train_0006,temporally_separated,late_mobile,static,guidance,0.4053369462490082
2,phase8_train_0006,temporally_separated,late_mobile,static,dynamic_raw,-0.17818541824817657
2,phase8_train_0006,temporally_separated,late_mobile,static,dynamic_weighted,-0.17819347977638245
2,phase8_train_0006,temporally_separated,late_mobile,static,score,-0.09873630851507187
2,phase8_train_0006,temporally_separated,late_mobile,static,total,0.8486371636390686
2,phase8_train_0006,temporally_separated,late_mobile,guidance,dynamic_raw,-0.0013037724420428276
2,phase8_train_0006,temporally_separated,late_mobile,guidance,dynamic_weighted,-0.0013097705086693168
2,phase8_train_0006,temporally_separated,late_mobile,guidance,score,-0.07685927301645279
