sample_index,sequence_id,frame_index,category,component,parameter_group,gradient_norm,max_abs_gradient,finite,component_total_norm_ratio
4,phase8_train_0005,3,visible_low_risk,smooth,shared_head_trunk,1.1031337976455688,0.07143986225128174,True,0.05731484601263016
4,phase8_train_0005,3,visible_low_risk,smooth,all,2.2782318592071533,0.2377963364124298,True,0.1183686951394446
4,phase8_train_0005,3,visible_low_risk,static,late_mobile,5.869294166564941,0.3539535701274872,True,0.30494731652450097
4,phase8_train_0005,3,visible_low_risk,static,output_1x1,4.249312877655029,0.11132042855024338,True,0.22077894246563126
4,phase8_train_0005,3,visible_low_risk,static,trajectory_output_branch,8.980328559875488,1.8877822160720825,True,0.4665854220500103
4,phase8_train_0005,3,visible_low_risk,static,score_output_branch,0.0,0.0,True,0.0
4,phase8_train_0005,3,visible_low_risk,static,shared_head_trunk,5.27878475189209,0.4274633526802063,True,0.274266581111246
4,phase8_train_0005,3,visible_low_risk,static,all,12.689252853393555,1.8877822160720825,True,0.6592877263481792
4,phase8_train_0005,3,visible_low_risk,guidance,late_mobile,3.682514190673828,0.2187507152557373,True,0.19133013078582983
4,phase8_train_0005,3,visible_low_risk,guidance,output_1x1,2.7128403186798096,0.11607250571250916,True,0.14094938025998607
4,phase8_train_0005,3,visible_low_risk,guidance,trajectory_output_branch,1.445383906364441,0.33322492241859436,True,0.075096924959803
4,phase8_train_0005,3,visible_low_risk,guidance,score_output_branch,0.0,0.0,True,0.0
4,phase8_train_0005,3,visible_low_risk,guidance,shared_head_trunk,4.619742393493652,0.3356674611568451,True,0.24002512158201553
4,phase8_train_0005,3,visible_low_risk,guidance,all,6.65969705581665,0.3356674611568451,True,0.34601379457284637
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,late_mobile,3.0738465785980225,0.26181352138519287,True,0.15970596104916052
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,output_1x1,2.265580177307129,0.0901055559515953,True,0.11771135946407292
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,trajectory_output_branch,4.902410507202148,1.0276471376419067,True,0.2547115353646965
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,score_output_branch,0.0,0.0,True,0.0
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,shared_head_trunk,2.8768553733825684,0.19734087586402893,True,0.1494710098430025
4,phase8_train_0005,3,visible_low_risk,dynamic_raw,all,6.847723007202148,1.0276471376419067,True,0.3557829435854493
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,late_mobile,0.30738940834999084,0.026183132082223892,True,0.015970842923220617
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,output_1x1,0.22656776010990143,0.009008856490254402,True,0.011771642125226378
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,trajectory_output_branch,0.49024108052253723,0.10276471078395844,True,0.02547115508489063
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,score_output_branch,0.0,0.0,True,0.0
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,shared_head_trunk,0.28770264983177185,0.019735708832740784,True,0.014947990087628241
4,phase8_train_0005,3,visible_low_risk,dynamic_weighted,all,0.6847849488258362,0.10276471078395844,True,0.035578951508409784
4,phase8_train_0005,3,visible_low_risk,score,late_mobile,4.665474891662598,0.20788392424583435,True,0.24240121693501834
4,phase8_train_0005,3,visible_low_risk,score,output_1x1,3.7750799655914307,0.13542865216732025,True,0.19613951396923474
