sequence_id,frame_index,map_id,scenario,sample_category,candidate_id,predicted_score,dynamic_cost,static_cost,guidance_cost,minimum_distance,minimum_clearance,time_of_minimum_clearance,risk_rank,score_rank,selected_by_score
phase8_train_0006,13,0,delayed_linear,temporally_separated,13,1.8908767700195312,4.807929144590162e-05,2.2396867275238037,1.026666522026062,1.7669029235839844,0.7578920125961304,0.6666666269302368,9,7,False
phase8_train_0006,13,0,delayed_linear,temporally_separated,14,1.356488823890686,2.6415059437567834e-06,2.1994378566741943,0.7542309761047363,2.0544819831848145,1.0658209323883057,0.6111111044883728,14,2,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,0,1.3446507453918457,0.2875422239303589,3.170078754425049,1.013218641281128,0.7038887143135071,-0.3397045135498047,0.7777777314186096,1,10,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,1,1.7526874542236328,0.2602583169937134,2.200464963912964,1.0350420475006104,0.694869339466095,-0.33502668142318726,0.7222222089767456,2,12,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,2,2.1013591289520264,0.9553980231285095,1.4754019975662231,1.1389274597167969,0.3254619240760803,-0.7257706522941589,0.7777777314186096,0,14,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,3,1.2153435945510864,0.0023672650568187237,1.564695119857788,0.9644084572792053,1.3858749866485596,0.3346424102783203,0.7777777314186096,9,4,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,4,1.3185572624206543,0.00015291284944396466,1.8532130718231201,0.7815802097320557,1.6867669820785522,0.6361775398254395,0.7777777314186096,12,9,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,5,1.2242441177368164,0.03138044849038124,2.5524966716766357,0.9461197853088379,1.0708199739456177,0.032448530197143555,0.7777777314186096,5,5,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,6,1.7045127153396606,0.002896736143156886,3.012399435043335,1.0622704029083252,1.3361833095550537,0.3062872886657715,0.7222222089767456,8,11,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,7,2.0026164054870605,0.003811143571510911,2.9870803356170654,1.0609073638916016,1.3026081323623657,0.2727121114730835,0.7222222089767456,7,13,False
